plate,state,license_type,summons_number,issue_date,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,summons_image,judgment_entry_date,violation_status
HSK6643,NY,PAS,4646073584,05/25/2018,01:46P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZWxVMFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
8B68J,NY,OMT,4646073560,05/25/2018,01:45P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZWxVeVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HFD1425,NY,PAS,4646073559,05/25/2018,01:45P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,ST,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZWxVeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
KKP8819,TX,PAS,4645833145,05/17/2018,08:08A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNVVaM3BOZWtVd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GRP4297,NY,PAS,5096303809,05/05/2017,11:43A,FAILURE TO STOP AT RED LIGHT,50.0,25.0,1.66,0.06,76.6,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSQk5VNXFUWGROZW1kM1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",08/03/2017,
DMX3159,NY,PAS,8497064070,06/07/2017,02:00P,NO STANDING-BUS STOP,115.0,0.0,0.0,115.0,0.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VNTZRVEpPUkVFelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-NOT GUILTY
GCU7201,NY,PAS,8754067868,09/05/2019,02:17P,INSP. STICKER-EXPIRED/MISSING,65.0,0.0,0.0,0.0,65.0,0.0,112.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VNUVRVEpPZW1jeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
V36KGC,NJ,PAS,4009472169,09/25/2018,05:30P,BUS LANE VIOLATION,115.0,0.0,0.0,0.0,115.0,0.0,0.0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmQwOVVVVE5OYWtVeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
15958MC,NY,COM,8512842568,06/05/2018,12:04P,FAIL TO DSPLY MUNI METER RECPT,35.0,0.0,0.0,15.0,20.0,0.0,28.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFMXFaekJOYWxVeVQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY REDUCTION
GTB4398,NY,PAS,8204029652,09/23/2016,07:08A,NO PARKING-DAY/TIME LIMITS,60.0,10.0,0.0,0.0,70.0,0.0,110.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWGxQVkZreFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HJY9661,NY,PAS,8204029720,09/23/2016,07:37A,NO PARKING-STREET CLEANING,45.0,0.0,0.0,0.0,45.0,0.0,110.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWGxQVkdONVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY
T710830C,NY,OMT,8204029974,09/24/2016,05:54A,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,0.0,115.0,0.0,109.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWGxQVkdzelRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY
GJC7078,NY,PAS,8010067854,11/09/2016,06:32P,OBSTRUCTING TRAFFIC/INTERSECT,115.0,0.0,0.0,0.0,115.0,0.0,17.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVFMUVRVEpPZW1jeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HFY2240,NY,PAS,7499593332,07/23/2016,01:15P,NO PARKING-DAY/TIME LIMITS,60.0,30.0,0.0,0.0,90.0,0.0,33.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk5VOVVWVFZOZWsxNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY
12394MG,NY,COM,8010067921,11/10/2016,01:23P,EXPIRED MUNI MTR-COMM MTR ZN,65.0,0.0,0.0,13.0,52.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVFMUVRVEpPZW10NVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY REDUCTION
27284ME,NY,COM,1424448931,09/06/2017,10:10P,NGHT PKG ON RESID STR-COMM VEH,65.0,60.0,1.68,0.0,126.68,0.0,66.0,K,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVVNUVVVEJQUkd0NlRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12/28/2017,
69370MK,NY,COM,8754113611,09/04/2019,10:03A,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,0.0,115.0,0.0,110.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VNUVSWGhOZWxsNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HSL2446,NY,PAS,1424449583,09/17/2017,08:19A,NO STANDING-BUS STOP,115.0,10.0,0.0,125.0,0.0,0.0,66.0,K,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVVNUVVVEJQVkZVMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-NOT GUILTY
ENX1580,NY,PAS,7462331913,12/03/2008,,,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk1rMXFUWHBOVkd0NFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
GNN9456,NY,PAS,4646073602,05/25/2018,01:46P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNXFRVE5OZWxsM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
Y70HMM,NJ,PAS,1424449571,09/16/2017,02:00P,FIRE HYDRANT,115.0,0.0,0.0,0.0,115.0,0.0,66.0,K,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVVNUVVVEJQVkZVelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
FHF8416,NY,PAS,1424449595,09/17/2017,08:28A,FIRE HYDRANT,115.0,0.0,0.0,0.0,115.0,0.0,66.0,K,POLICE DEPARTMENT,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUmVVNUVVVEJQVkZVMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
51183MJ,NY,COM,8485818118,06/06/2017,09:19A,FAIL TO DISP. MUNI METER RECPT,65.0,0.0,0.0,37.0,28.0,0.0,18.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNVVaM2hQUkVWNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY REDUCTION
U42HTJ,NJ,PAS,8497064124,06/07/2017,03:23P,NO PARKING-DAY/TIME LIMITS,65.0,0.0,0.0,0.0,65.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VNTZRVEpPUkVWNVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
AR175A,NJ,PAS,8040700401,07/20/2015,,,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQk1FMUVZM2ROUkZGM1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
WINZER3,NY,COM,8477139118,09/13/2017,12:57P,FAIL TO DISP. MUNI METER RECPT,65.0,0.0,0.0,37.0,28.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wNTZSWHBQVkVWNFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY REDUCTION
KSF5813,PA,PAS,4645833170,05/17/2018,08:55A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNVVaM3BOZWtVelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HCP1478,NY,PAS,5103517115,09/16/2018,04:20P,FAILURE TO STOP AT RED LIGHT,50.0,0.0,0.0,0.0,50.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGxSRmQwMTZWWGhPZWtWNFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HFZ2010,NY,PAS,8512842696,06/06/2018,08:59A,INSP. STICKER-EXPIRED/MISSING,65.0,0.0,0.0,0.0,65.0,0.0,19.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFMXFaekJOYWxrMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY
GUY2161,NY,PAS,8204030319,09/24/2016,09:28A,INSP. STICKER-EXPIRED/MISSING,65.0,10.0,0.0,0.0,75.0,0.0,109.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOUkUxNFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
40SV49,NY,MOT,8204030459,09/26/2016,08:51A,NO PARKING-STREET CLEANING,45.0,10.0,0.0,10.0,45.0,0.0,114.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSSmQwNUVRWHBOUkZFeFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
45199MG,NY,COM,8010068044,11/11/2016,04:23P,OBSTRUCTING TRAFFIC/INTERSECT,115.0,0.0,0.0,0.0,115.0,0.0,18.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVFMUVRVEpQUkVFd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING PENDING
21566MG,NY,COM,7922559045,10/18/2016,03:45P,NO STANDING-BUS LANE,115.0,0.0,0.0,10.0,105.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wcmVVMXFWVEZQVkVFd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY REDUCTION
GNJ4919,NY,PAS,7499594040,07/28/2016,05:52P,NO STANDING-BUS STOP,115.0,60.0,0.35,0.0,175.35,0.0,20.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk5VOVVWVFZPUkVFd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11/17/2016,
GUW2490,NY,PAS,4009472170,09/25/2018,05:31P,BUS LANE VIOLATION,115.0,0.0,0.0,0.0,115.0,0.0,0.0,BX,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmQwOVVVVE5OYWtVelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
XDTM38,NJ,PAS,8501293945,11/12/2018,01:33P,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,0.0,115.0,0.0,17.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmQwMVVTVFZOZW1zd1RsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
YVM7815,PA,PAS,7462335542,02/10/2009,,,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk1rMXFUWHBPVkZVd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
EHS9089,NY,PAS,7462336236,02/14/2009,,,,,,,,,,,,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wUk1rMXFUWHBPYWtsNlRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
HSC6690,NY,PAS,4652433049,01/17/2019,01:59P,PHTO SCHOOL ZN SPEED VIOLATION,50.0,0.0,0.0,0.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMXFVWHBOZWtFd1QxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
62513MG,NY,COM,8010067969,11/10/2016,02:49P,NO STD(EXC TRKS/GMTDST NO-TRK),115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVFMUVRVEpPZW1zeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
KHY1632,PA,PAS,4009472182,09/25/2018,05:32P,BUS LANE VIOLATION,115.0,0.0,0.0,0.0,115.0,0.0,0.0,QN,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSQmQwOVVVVE5OYWtVMFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
T786966C,NY,OMT,8754114275,09/06/2019,11:58A,REG. STICKER-EXPIRED/MISSING,65.0,0.0,0.0,65.0,0.0,0.0,109.0,Q,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSak1VNUVSWGhPUkVrelRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-NOT GUILTY
HRG8766,NY,PAS,8497064197,06/08/2017,08:57A,NO STANDING-COMM METER ZONE,115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VNTZRVEpPUkVVMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
16208TC,NY,TRC,8497064185,06/08/2017,08:35A,FIRE HYDRANT,115.0,0.0,0.0,10.0,105.0,0.0,14.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5VNTZRVEpPUkVVMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY REDUCTION
KMY8627,PA,PAS,4645833182,05/17/2018,08:59A,PHTO SCHOOL ZN SPEED VIOLATION,50.0,25.0,0.17,0.13,75.04,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1FNVVaM3BOZWtVMFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",08/09/2018,
26243TC,NY,TRC,8512842740,06/06/2018,10:30A,FAIL TO DSPLY MUNI METER RECPT,65.0,0.0,0.0,37.0,28.0,0.0,19.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVFMXFaekJOYW1Nd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-GUILTY REDUCTION
0L9788J,NJ,PAS,8501293969,11/12/2018,01:48P,NO STANDING-DAY/TIME LIMITS,115.0,0.0,0.0,115.0,0.0,0.0,17.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmQwMVVTVFZOZW1zeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,HEARING HELD-NOT GUILTY
GAW6940,NY,PAS,8010068020,11/10/2016,05:18P,OBSTRUCTING TRAFFIC/INTERSECT,115.0,0.0,0.0,0.0,115.0,0.0,18.0,NY,TRAFFIC,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSQmVFMUVRVEpQUkVGNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,
